rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
21,B0DWFLY18Y,"Anua PDRN Hyaluronic Acid 100 Moisturizing Cream, 2.02 fl oz | Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon",4.6,5250,21.6,USD,$21.60,,https://www.amazon.com/ANUA-Hyaluronic-Moisturizing-Lightweight-Moisturizer/dp/B0DWFLY18Y/ref=zg_bs_g_beauty_d_sccl_21/146-9206013-3411424
22,B002MSN3QQ,"EltaMD UV Clear Face Sunscreen with Zinc Oxide, Oil-Free, SPF 46 and SPF 50 | Calms and Protects Acne-Prone Skin and Rosacea,",4.5,70637,45.0,USD,$45.00,,https://www.amazon.com/EltaMD-Clear-Untinted-Sunscreen-Oxide/dp/B002MSN3QQ/ref=zg_bs_g_beauty_d_sccl_22/146-9206013-3411424
23,B000H3I2JG,"Revlon ColorStay Pencil Waterproof Eyeliner, 202 Black Brown, 0.01 oz | Waterproof pencil eyeliner with built-in sharpener. S",4.5,54547,7.71,USD,$7.71,,https://www.amazon.com/ColorStay-Waterproof-Smudgeproof-Longwearing-Ultra-Fine/dp/B000H3I2JG/ref=zg_bs_g_beauty_d_sccl_23/146-9206013-3411424
24,B07GKVBQDG,"Neutrogena Makeup Remover Towelettes, Daily Single Face Towelettes, 20 Ct | Makeup Remover, Makeup Removing Cleansing Wipes,",4.8,74781,6.99,USD,$6.99,,https://www.amazon.com/Neutrogena-Remover-Towelettes-Micellar-Alcohol-Free/dp/B07GKVBQDG/ref=zg_bs_g_beauty_d_sccl_24/146-9206013-3411424
25,B01MSSDEPK,"CeraVe Hydrating Cleanser with Hyaluronic Acid, Face Wash for Dry Skin,16oz | Skin Care For Men and Women, Daily Cleanser & M",4.7,132858,15.97,USD,$15.97,,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_beauty_d_sccl_25/146-9206013-3411424
26,B0CM2PPNMW,"medicube Jelly Cream with Collagen & Niacinamide, 3.71 fl.oz | Freeze-Dried Hydrolyzed Collagen for Skin Barrier Hydration &",4.5,36449,19.98,USD,$19.98,,https://www.amazon.com/Medicube-Collagen-Niacinamide-Freeze-Dried-Hydrolyzed/dp/B0CM2PPNMW/ref=zg_bs_g_beauty_d_sccl_26/146-9206013-3411424
27,B075JRT85B,Degree Men UltraClear Antiperspirant Black+White Sweat & 2 Count 2.7 oz | 72-Hour Sweat & Odor Protection for Men with Motion,4.7,42734,7.98,USD,$7.98,,https://www.amazon.com/Degree-Men-UltraClear-Antiperspirant-Deodorant/dp/B075JRT85B/ref=zg_bs_g_beauty_d_sccl_27/146-9206013-3411424
28,B07ZTN5N1V,"Differin Acne Retinoid Treatment Gel, 0.1% Adapalene, 45g Pump | 90-Day Supply Pump, Over-The-Counter Retinoid, Clears Breako",4.6,19222,19.19,USD,$19.19,,https://www.amazon.com/Differin-Adapalene-prescription-strength-treatment/dp/B07ZTN5N1V/ref=zg_bs_g_beauty_d_sccl_28/146-9206013-3411424
29,B01MYEZPC8,"The Ordinary Hyaluronic Acid 2% + B5 (with Ceramides), Multi-Depth Hydration Serum for Plumper, Smoother Skin",4.7,40459,9.9,USD,$9.90,,https://www.amazon.com/Ordinary-Hyaluronic-Acid-2-30ml/dp/B01MYEZPC8/ref=zg_bs_g_beauty_d_sccl_29/146-9206013-3411424
30,B01N34XW93,La Roche-Posay Toleriane Purifying Foaming Facial Cleanser with Niacinamide | Oil free face wash for sensitive skin with niac,4.7,45829,19.99,USD,$19.99,,https://www.amazon.com/Roche-Posay-Toleriane-Purifying-Sensitive-Niacinamide/dp/B01N34XW93/ref=zg_bs_g_beauty_d_sccl_30/146-9206013-3411424
31,B01MDTVZTZ,,,,,,,,
32,B00TTD9BRC,,,,,,,,
33,B00949CTQQ,,,,,,,,
34,B0BVPNQW1C,,,,,,,,
35,B07RK4HST7,,,,,,,,
36,B0CMYR1CNK,,,,,,,,
37,B0B1PDDLGZ,,,,,,,,
38,B07QZ5CTTF,,,,,,,,
39,B00MEDOY2G,,,,,,,,
40,B0DBF65JYY,,,,,,,,
41,B017PCGABI,,,,,,,,
42,B01N1LL62W,,,,,,,,
43,B08WYXNVQ7,,,,,,,,
44,B0DG1DQ2S7,,,,,,,,
45,B0DYTQ5GYQ,,,,,,,,
46,B0CZF2T7CK,,,,,,,,
47,B00HF3XSO0,,,,,,,,
48,B00SK71SAG,,,,,,,,
49,B0FM2CCBS1,,,,,,,,
50,B0GD6R7CFJ,,,,,,,,
51,B07PBQZ3KF,"e.l.f. Instant Lift Brow Pencil, Dual-Sided, Blonde | Retractable Precision-Tip Brow Pencil with Grooming Spoolie for Buildab",4.5,71714,4.0,USD,$4.00,,https://www.amazon.com/Instant-Dual-Sided-Precise-Defines-Contours/dp/B07PBQZ3KF/ref=zg_bs_g_beauty_d_sccl_1/146-9206013-3411424
52,B00365DABC,"CeraVe PM Facial Moisturizing Lotion, Skin Care for Dry Skin, Oil-Free, 3oz | Travel Sized Face Lotion with Hyaluronic Acid,",4.7,63063,14.97,USD,$14.97,,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-Lightweight/dp/B00365DABC/ref=zg_bs_g_beauty_d_sccl_2/146-9206013-3411424
53,B08V3JGB1F,"Kitsch Dermaplane Razor for Women Face – Terracotta, 12 pcs | Face Razors for Women & Men, Eyebrow Razor & Face Shaver – Exfo",4.3,37851,8.99,USD,$8.99,,https://www.amazon.com/Kitsch-Dermaplaning-Tool-Eyebrow-Dermaplane/dp/B08V3JGB1F/ref=zg_bs_g_beauty_d_sccl_3/146-9206013-3411424
